Player,Opp.,Attempts,SOA%,Goals,Actual_Conversion_Rate,Estimated_Conversion_Rate,SO_Rating
Paul Kariya,42,26,0.6190476190476191,12,0.46153846153846156,0.34064720442632496,73.29089011842359
Shawn Horcoff,100,23,0.23,11,0.4782608695652174,0.34048594933022713,73.24609703617419
Paul Byron,35,20,0.5714285714285714,10,0.5,0.34032469423412925,73.20130395392479
Miroslav Satan,48,36,0.75,15,0.4166666666666667,0.3395180547466511,72.97723742962529
Brandon Pirri,30,24,0.8,11,0.4583333333333333,0.33887303436225974,72.7980651006277
Patrik Laine,18,18,1.0,9,0.5,0.33855052417006404,72.7084789361289
Mark Scheifele,48,18,0.375,9,0.5,0.33855052417006404,72.7084789361289
Kyle Turris,97,77,0.7938144329896907,28,0.36363636363636365,0.3383885410599884,72.66348362777454
David Desharnais,63,43,0.6825396825396826,17,0.3953488372093023,0.3382276499708794,72.6187916585776
Sean Monahan,46,43,0.9347826086956522,17,0.3953488372093023,0.3382276499708794,72.6187916585776
Nikita Gusev,9,9,1.0,6,0.6666666666666666,0.3380667588817705,72.57409968938069
Sergei Zubov,31,31,1.0,13,0.41935483870967744,0.33758262958648805,72.43961932958001
Chris Stewart,83,28,0.3373493975903614,12,0.42857142857142855,0.33742137449039017,72.3948262473306
Ryan Getzlaf,125,78,0.624,28,0.358974358974359,0.33677562609202094,72.21545169222803
Jason Spezza,95,75,0.7894736842105263,27,0.36,0.3366143709959231,72.17065860997863
Matt Moulson,94,41,0.43617021276595747,16,0.3902439024390244,0.33645347990681423,72.12596664078173
Blake Wheeler,102,72,0.7058823529411765,26,0.3611111111111111,0.3364531158998253,72.12586552772925
Mark Letestu,60,38,0.6333333333333333,15,0.39473684210526316,0.33629222481071636,72.08117355853231
Jordan Eberle,87,69,0.7931034482758621,25,0.36231884057971014,0.3362918608037274,72.08107244547983
Alex Tanguay,91,60,0.6593406593406593,22,0.36666666666666664,0.3358080955154339,71.94669319873162
Mats Sundin,30,26,0.8666666666666667,11,0.4230769230769231,0.33564720442632495,71.9020012295347
Devin Setoguchi,82,26,0.3170731707317073,11,0.4230769230769231,0.33564720442632495,71.9020012295347
Nigel Dawes,38,26,0.6842105263157895,11,0.4230769230769231,0.33564720442632495,71.9020012295347
Connor McDavid,25,20,0.8,9,0.45,0.33532469423412925,71.81241506503589
Ondrej Kase,20,14,0.7,7,0.5,0.3350021840419336,71.72282890053711
Adrian Aucoin,48,11,0.22916666666666666,6,0.5454545454545454,0.3348409289458357,71.6780358182877
Joffrey Lupul,81,36,0.4444444444444444,14,0.3888888888888889,0.3345180547466511,71.5883485407364
Jamie Langenbrunner,81,33,0.4074074074074074,13,0.3939393939393939,0.33435679965055326,71.543555458487
Nathan MacKinnon,37,27,0.7297297297297297,11,0.4074074074074074,0.33403428945835756,71.4539692939882
Matt Duchene,68,58,0.8529411764705882,21,0.3620689655172414,0.3340339254513686,71.45386818093571
Teemu Selanne,78,58,0.7435897435897436,21,0.3620689655172414,0.3340339254513686,71.45386818093571
Jarkko Ruutu,59,18,0.3050847457627119,8,0.4444444444444444,0.33355052417006403,71.31959004724
Jeremy Roenick,24,12,0.5,6,0.5,0.3332280139778684,71.23000388274122
Ville Koistinen,12,6,0.5,4,0.6666666666666666,0.3329055037856727,71.1404177182424
Kevin Shattenkirk,76,37,0.4868421052631579,14,0.3783783783783784,0.33290513977868375,71.14031660518992
Kris Letang,90,68,0.7555555555555555,24,0.35294117647058826,0.33290477577169486,71.14021549213746
Alexander Radulov,37,34,0.918918918918919,13,0.38235294117647056,0.33274388468258587,71.09552352294051
Michael Nylander,35,28,0.8,11,0.39285714285714285,0.33242137449039016,71.00593735844171
Petr Sykora,54,28,0.5185185185185185,11,0.39285714285714285,0.33242137449039016,71.00593735844171
Joe Colborne,20,19,0.95,8,0.42105263157894735,0.33193760920209664,70.8715581116935
Leon Draisaitl,34,19,0.5588235294117647,8,0.42105263157894735,0.33193760920209664,70.8715581116935
Matthew Tkachuk,23,16,0.6956521739130435,7,0.4375,0.3317763541059988,70.8267650294441
Joonas Donskoi,19,13,0.6842105263157895,6,0.46153846153846156,0.331615099009901,70.7819719471947
Alexandre Burrows,120,44,0.36666666666666664,16,0.36363636363636365,0.33161473500291205,70.78187083414223
Conor Garland,14,10,0.7142857142857143,5,0.5,0.3314538439138031,70.7371788649453
Shea Theodore,22,10,0.45454545454545453,5,0.5,0.3314538439138031,70.7371788649453
Saku Koivu,82,41,0.5,15,0.36585365853658536,0.33145347990681423,70.73707775189283
Cam Atkinson,53,41,0.7735849056603774,15,0.36585365853658536,0.33145347990681423,70.73707775189283
Patrik Elias,103,72,0.6990291262135923,25,0.3472222222222222,0.33145311589982523,70.73697663884033
Pierre-Luc Dubois,17,7,0.4117647058823529,4,0.5714285714285714,0.3312925888177053,70.69238578269591
Ryan Donato,9,7,0.7777777777777778,4,0.5714285714285714,0.3312925888177053,70.69238578269591
Brock McGinn,22,7,0.3181818181818182,4,0.5714285714285714,0.3312925888177053,70.69238578269591
Vincent Trocheck,51,38,0.7450980392156863,14,0.3684210526315789,0.33129222481071635,70.69228466964341
Andrei Svechnikov,9,4,0.4444444444444444,3,0.75,0.33113133372160747,70.64759270044651
Jason Williams,42,35,0.8333333333333334,13,0.37142857142857144,0.3311309697146185,70.64749158739401
Mike Ribeiro,111,63,0.5675675675675675,22,0.3492063492063492,0.33096935061153177,70.60259739209215
Matt Hendricks,69,29,0.42028985507246375,11,0.3793103448275862,0.3308084595224228,70.55790542289522
Olli Jokinen,106,60,0.5660377358490566,21,0.35,0.3308080955154339,70.55780430984274
David Perron,93,60,0.6451612903225806,21,0.35,0.3308080955154339,70.55780430984274
Robert Nilsson,41,20,0.4878048780487805,8,0.4,0.33032469423412925,70.423526176147
Andrew Ladd,113,51,0.45132743362831856,18,0.35294117647058826,0.33032433022714036,70.42342506309453
Elias Pettersson,17,17,1.0,7,0.4117647058823529,0.3301634391380315,70.37873309389762
Michael Cammalleri,84,48,0.5714285714285714,17,0.3541666666666667,0.3301630751310425,70.37863198084513
Cal O'Reilly,23,14,0.6086956521739131,6,0.42857142857142855,0.33000218404193365,70.33394001164822
Fernando Pisani,51,14,0.27450980392156865,6,0.42857142857142855,0.33000218404193365,70.33394001164822
Andreas Athanasiou,24,14,0.5833333333333334,6,0.42857142857142855,0.33000218404193365,70.33394001164822
Brian Flynn,37,11,0.2972972972972973,5,0.45454545454545453,0.3298409289458357,70.2891469293988
Kyle Connor,15,8,0.5333333333333333,4,0.5,0.3296796738497379,70.24435384714941
