Player,Team,Att.,Made,Miss,Pct.
Niklas Backstrom\backsni01,MIN,15,8,7,46.7
Martin Brodeur\brodema01,NJD,11,6,5,45.5
Devan Dubnyk\dubnyde01,EDM,11,6,5,45.5
Ilya Bryzgalov\bryzgil01,PHI,9,5,4,44.4
Robin Lehner\lehnero01,OTT,10,6,4,40.0
Jean-Sebastien Giguere\gigueje01,COL,5,3,2,40.0
Jonathan Bernier\bernijo01,LAK,3,3,0,0.0
Craig Anderson\andercr01,OTT,3,3,0,0.0
Martin Biron\bironma01,NYR,2,2,0,0.0
Jhonas Enroth\enrotjh01,BUF,2,2,0,0.0
Leland Irving\irvinle01,CGY,2,2,0,0.0
Ty Conklin\conklty01,DET,3,0,3,100.0
Anders Lindback\lindban01,NSH,3,0,3,100.0
Semyon Varlamov\varlasi01,COL,24,2,22,91.7
Mathieu Garon\garonma01,TBL,6,1,5,83.3
Jimmy Howard\howarja02,DET,27,5,22,81.5
Corey Crawford\crawfco01,CHI,32,6,26,81.3
Josh Harding\hardijo01,MIN,23,5,18,78.3
Evgeni Nabokov\nabokev01,NYI,18,4,14,77.8
Antti Niemi\niemian02,SJS,40,9,31,77.5
Kari Lehtonen\lehtoka01,DAL,39,9,30,76.9
Marc-Andre Fleury\fleurma01,PIT,39,9,30,76.9
Tim Thomas\thomati01,BOS,26,6,20,76.9
Martin Brodeur\brodema01,NJD,27,7,20,74.1
Devan Dubnyk\dubnyde01,EDM,27,7,20,74.1
Craig Anderson\andercr01,OTT,25,7,18,72.0
Henrik Lundqvist\lundqhe01,NYR,25,7,18,72.0
Jaroslav Halak\halakja01,STL,32,9,23,71.9
Thomas Greiss\greisth01,SJS,7,2,5,71.4
Pekka Rinne\rinnepe01,NSH,30,9,21,70.0
Ryan Miller\millery01,BUF,34,11,23,67.6
Mike Smith\smithmi01,PHX,46,15,31,67.4
Curtis Sanford\sanfocu01,CBJ,15,5,10,66.7
Dwayne Roloson\rolosdw01,TBL,15,5,10,66.7
Joey MacDonald\macdojo01,DET,9,3,6,66.7
Richard Bachman\bachmri01,DAL,3,1,2,66.7
Rick DiPietro\dipieri01,NYI,3,1,2,66.7
Jacob Markstrom\marksja02,FLA,3,1,2,66.7
Jonathan Quick\quickjo01,LAK,47,16,31,66.0
Carey Price\priceca01,MTL,40,14,26,65.0
Johan Hedberg\hedbejo01,NJD,20,7,13,65.0
Scott Clemmensen\clemmsc01,FLA,20,7,13,65.0
Brian Elliott\elliobr01,STL,14,5,9,64.3
Jhonas Enroth\enrotjh01,BUF,22,8,14,63.6
Jonas Gustavsson\gustajo01,TOR,11,4,7,63.6
Miikka Kiprusoff\kiprumi01,CGY,40,15,25,62.5
Cory Schneider\schneco01,VAN,8,3,5,62.5
Chris Mason\masonch02,WPG,8,3,5,62.5
James Reimer\reimeja01,TOR,8,3,5,62.5
Jose Theodore\theodjo01,FLA,37,14,23,62.2
Al Montoya\montoal01,NYI,13,5,8,61.5
Ray Emery\emeryra01,CHI,13,5,8,61.5
Ondrej Pavelec\pavelon01,WPG,20,8,12,60.0
Steve Mason\masonst01,CBJ,10,4,6,60.0
Ben Scrivens\scrivbe01,TOR,5,2,3,60.0
Matt Hackett\hackema01,MIN,5,2,3,60.0
Roberto Luongo\luongro01,VAN,42,17,25,59.5
Michal Neuvirth\neuvimi01,WSH,17,7,10,58.8
Jonas Hiller\hillejo01,ANA,40,17,23,57.5
Cam Ward\wardca01,CAR,14,6,8,57.1
Tuukka Rask\rasktu01,BOS,14,6,8,57.1
Martin Biron\bironma01,NYR,7,3,4,57.1
Peter Budaj\budajpe01,MTL,15,7,8,53.3
Niklas Backstrom\backsni01,MIN,32,15,17,53.1
Sergei Bobrovsky\bobrose01,PHI,8,4,4,50.0
Ben Bishop\bishobe01,OTT,6,3,3,50.0
Justin Peters\peterju01,CAR,6,3,3,50.0
Leland Irving\irvinle01,CGY,4,2,2,50.0
Braden Holtby\holtbbr01,WSH,4,2,2,50.0
Tomas Vokoun\vokouto01,WSH,4,2,2,50.0
Ilya Bryzgalov\bryzgil01,PHI,25,13,12,48.0
Nikolai Khabibulin\khabini01,EDM,20,12,8,40.0
Jason LaBarbera\labarja01,PHX,11,7,4,36.4
Brent Johnson\johnsbr02,PIT,3,2,1,33.3
Jean-Sebastien Giguere\gigueje01,COL,7,5,2,28.6
Alex Auld\auldal01,OTT,4,3,1,25.0
Jonathan Bernier\bernijo01,LAK,2,2,0,0.0
Mike Smith\smithmi01,TBL,4,0,4,100.0
Antero Niittymaki\niittan01,SJS,4,0,4,100.0
Mikko Koskinen\koskimi01,NYI,4,0,4,100.0
Cory Schneider\schneco01,VAN,3,0,3,100.0
Craig Anderson\andercr01,COL,15,1,14,93.3
Peter Budaj\budajpe01,COL,14,1,13,92.9
Brent Johnson\johnsbr02,PIT,11,1,10,90.9
Jimmy Howard\howarja02,DET,17,2,15,88.2
Henrik Lundqvist\lundqhe01,NYR,46,7,39,84.8
Jonas Hiller\hillejo01,ANA,26,4,22,84.6
Tomas Vokoun\vokouto01,FLA,13,2,11,84.6
Marc-Andre Fleury\fleurma01,PIT,38,6,32,84.2
Corey Crawford\crawfco01,CHI,19,3,16,84.2
Andrew Raycroft\raycran01,DAL,6,1,5,83.3
Jonathan Quick\quickjo01,LAK,44,8,36,81.8
Pekka Rinne\rinnepe01,NSH,34,7,27,79.4
Nikolai Khabibulin\khabini01,EDM,18,4,14,77.8
Joey MacDonald\macdojo01,DET,9,2,7,77.8
Martin Brodeur\brodema01,NJD,9,2,7,77.8
Chris Mason\masonch02,ATL,17,4,13,76.5
Cam Ward\wardca01,CAR,25,6,19,76.0
Carey Price\priceca01,MTL,24,6,18,75.0
Dan Ellis\ellisda01,TBL,24,6,18,75.0
Alex Auld\auldal01,MTL,4,1,3,75.0
Martin Gerber\gerbema01,EDM,4,1,3,75.0
Jhonas Enroth\enrotjh01,BUF,19,5,14,73.7
James Reimer\reimeja01,TOR,11,3,8,72.7
Johan Hedberg\hedbejo01,NJD,11,3,8,72.7
Antti Niemi\niemian02,SJS,28,8,20,71.4
Michal Neuvirth\neuvimi01,WSH,21,6,15,71.4
Martin Biron\bironma01,NYR,7,2,5,71.4
Miikka Kiprusoff\kiprumi01,CGY,41,12,29,70.7
Dwayne Roloson\rolosdw01,NYI,27,8,19,70.4
Steve Mason\masonst01,CBJ,31,10,21,67.7
Mathieu Garon\garonma01,CBJ,12,4,8,66.7
Rick DiPietro\dipieri01,NYI,9,3,6,66.7
Al Montoya\montoal01,NYI,9,3,6,66.7
Ilya Bryzgalov\bryzgil01,PHX,32,11,21,65.6
Jaroslav Halak\halakja01,STL,29,10,19,65.5
Ondrej Pavelec\pavelon01,ATL,24,9,15,62.5
Semyon Varlamov\varlasi01,WSH,8,3,5,62.5
Brian Elliott\elliobr01,OTT,18,7,11,61.1
Brian Boucher\bouchbr01,PHI,20,8,12,60.0
Jonas Gustavsson\gustajo01,TOR,10,4,6,60.0
Tuukka Rask\rasktu01,BOS,5,2,3,60.0
Jason LaBarbera\labarja01,PHX,5,2,3,60.0
Kari Lehtonen\lehtoka01,DAL,33,14,19,57.6
Braden Holtby\holtbbr01,WSH,7,3,4,57.1
Henrik Karlsson\karlshe01,CGY,11,5,6,54.5
Roberto Luongo\luongro01,VAN,26,12,14,53.8
Jose Theodore\theodjo01,MIN,15,7,8,53.3
Jean-Sebastien Giguere\gigueje01,TOR,15,7,8,53.3
Niklas Backstrom\backsni01,MIN,17,8,9,52.9
Tim Thomas\thomati01,BOS,19,9,10,52.6
Ryan Miller\millery01,BUF,8,4,4,50.0
Ben Bishop\bishobe01,STL,4,2,2,50.0
Scott Clemmensen\clemmsc01,FLA,23,12,11,47.8
Devan Dubnyk\dubnyde01,EDM,19,10,9,47.4
Sergei Bobrovsky\bobrose01,PHI,17,9,8,47.1
Marty Turco\turcoma01,CHI,13,7,6,46.2
Jonathan Bernier\bernijo01,LAK,5,3,2,40.0
Nathan Lawson\lawsona01,NYI,6,4,2,33.3
Kevin Poulin\poulike01,NYI,3,2,1,33.3
Ty Conklin\conklty01,STL,7,6,1,14.3
Justin Peters\peterju01,CAR,2,2,0,0.0
Jonathan Bernier\bernijo01,LAK,6,0,6,100.0
Brent Johnson\johnsbr02,PIT,6,0,6,100.0
Thomas Greiss\greisth01,SJS,6,0,6,100.0
Michael Leighton\leighmi01,CAR,5,0,5,100.0
Kari Lehtonen\lehtoka01,DAL,4,0,4,100.0
Wade Dubielewicz\dubiewa01,MIN,2,0,2,100.0
Scott Clemmensen\clemmsc01,FLA,11,1,10,90.9
Josh Harding\hardijo01,MIN,10,1,9,90.0
Alex Auld\auldal01,DAL,15,2,13,86.7
