Player,Tm,Opp.,Att.,Made,Miss,Pct.
Viktor Stalberg,N/A,71,7,2,5,0.29
Colin Wilson,N/A,71,7,1,6,0.14
Dougie Hamilton,N/A,51,5,3,2,0.6
Kevin Porter,N/A,31,3,1,2,0.33
Dmitry Kulikov,N/A,94,9,2,7,0.22
Justin Fontaine,N/A,21,2,1,1,0.5
Fedor Tyutin,N/A,116,11,4,7,0.36
Riley Sheahan,N/A,53,5,2,3,0.4
Dan Cleary,N/A,85,8,0,8,0
Steve Ott,N/A,117,11,4,7,0.36
Cal Clutterbuck,N/A,109,10,2,8,0.2
Rasmus Dahlin,N/A,11,1,1,0,1
Noah Hanifin,N/A,33,3,1,2,0.33
Andrej Nestrasil,N/A,11,1,0,1,0
Devon Toews,N/A,11,1,0,1,0
Tobias Rieder,N/A,34,3,0,3,0
Drew Doughty,N/A,114,10,2,8,0.2
Paul Stastny,N/A,103,9,0,9,0
Bryan Rust,N/A,23,2,2,0,1
Jason Arnott,N/A,69,6,3,3,0.5
Steve Downie,N/A,46,4,0,4,0
Micheal Ferland,N/A,23,2,0,2,0
Tomas Kopecky,N/A,93,8,3,5,0.38
Enver Lisin,N/A,12,1,0,1,0
Brian Gibbons,N/A,24,2,0,2,0
Matt Puempel,N/A,12,1,0,1,0
Iiro Pakarinen,N/A,12,1,0,1,0
Evan Rodrigues,N/A,12,1,0,1,0
Anthony Cirelli,N/A,12,1,0,1,0
Zdeno Chara,N/A,133,11,3,8,0.27
Brenden Morrow,N/A,85,7,3,4,0.43
Marty Reasoner,N/A,73,6,1,5,0.17
Trevor Lewis,N/A,73,6,1,5,0.17
Kamil Kreps,N/A,37,3,1,2,0.33
Ben Smith,N/A,38,3,1,2,0.33
Mike Green,N/A,102,8,0,8,0
Dustin Byfuglien,N/A,102,8,0,8,0
Jeremy Morin,N/A,13,1,1,0,1
Vladislav Namestnikov,N/A,39,3,1,2,0.33
David Backes,N/A,117,9,2,7,0.22
Brendan Bell,N/A,13,1,0,1,0
Luke Adam,N/A,13,1,0,1,0
Ryan Garbutt,N/A,26,2,0,2,0
Alexander Kerfoot,N/A,13,1,0,1,0
Mike Reilly,N/A,13,1,0,1,0
Dylan Strome,N/A,13,1,0,1,0
Marcus Foligno,N/A,66,5,0,5,0
Tyler Johnson,N/A,53,4,0,4,0
Patric Hornqvist,N/A,81,6,0,6,0
Cody Franson,N/A,68,5,1,4,0.2
Darren Helm,N/A,82,6,2,4,0.33
Anders Lee,N/A,55,4,0,4,0
Dustin Jeffrey,N/A,14,1,1,0,1
Zach Redmond,N/A,14,1,0,1,0
Stefan Noesen,N/A,14,1,0,1,0
Zach Sanford,N/A,14,1,0,1,0
Dwight King,N/A,43,3,2,1,0.67
Andrew Ebbett,N/A,29,2,1,1,0.5
Jean-Pierre Dumont,N/A,58,4,1,3,0.25
Chad LaRose,N/A,44,3,1,2,0.33
Jiri Tlusty,N/A,44,3,0,3,0
Marcus Johansson,N/A,74,5,0,5,0
Timo Meier,N/A,15,1,1,0,1
Jeff Taffe,N/A,15,1,0,1,0
Michael Latta,N/A,15,1,0,1,0
Matt Tennyson,N/A,15,1,0,1,0
Jujhar Khaira,N/A,15,1,0,1,0
Oskar Lindblom,N/A,15,1,0,1,0
Richard Zednik,N/A,31,2,1,1,0.5
Evgenii Dadonov,N/A,31,2,0,2,0
Scott Laughton,N/A,31,2,0,2,0
Scott Parse,N/A,16,1,0,1,0
Tim Kennedy,N/A,16,1,0,1,0
Matt Halischuk,N/A,32,2,0,2,0
Brandon Segal,N/A,16,1,0,1,0
Dmitry Orlov,N/A,48,3,0,3,0
Adam Gaudette,N/A,16,1,0,1,0
Radek Bonk,N/A,33,2,0,2,0
Colby Armstrong,N/A,51,3,2,1,0.67
Keith Aucoin,N/A,17,1,0,1,0
Alexander Sulzer,N/A,17,1,0,1,0
Simon Despres,N/A,17,1,0,1,0
Mark Streit,N/A,103,6,0,6,0
Dion Phaneuf,N/A,121,7,0,7,0
Jaden Schwartz,N/A,52,3,0,3,0
Michal Rozsival,N/A,106,6,1,5,0.17
Henrik Sedin,N/A,124,7,0,7,0
Josh Anderson,N/A,18,1,1,0,1
Benn Ferriero,N/A,18,1,0,1,0
Anthony Peluso,N/A,18,1,0,1,0
Brendan Leipsic,N/A,18,1,0,1,0
Yanni Gourde,N/A,18,1,0,1,0
Tyler Myers,N/A,73,4,1,3,0.25
