Player,Tm,Att.,Made,Miss,Pct.
Tanner Pearson\pearsta01,VAN,5,1,4,20.0
Matt Duchene\duchema01,NSH,5,1,4,20.0
Zach Parise\parisza01,MIN,5,1,4,20.0
David Pastrnak\pastrda01,BOS,6,1,5,16.7
Auston Matthews\matthau01,TOR,6,1,5,16.7
Brad Marchand\marchbr03,BOS,7,0,7,0.0
Kyle Palmieri\palmiky01,NJD,7,0,7,0.0
Ryan Johansen\johanry01,NSH,5,0,5,0.0
Brock Boeser\boesebr01,VAN,5,0,5,0.0
Mitch Marner\marnemi01,TOR,5,0,5,0.0
Anthony Duclair\duclaan01,OTT,5,0,5,0.0
Sam Reinhart\reinhsa01,BUF,4,0,4,0.0
Aleksander Barkov\barkoal01,FLA,4,0,4,0.0
Kyle Turris\turriky01,NSH,4,0,4,0.0
Jakub Voracek\voracja01,PHI,4,0,4,0.0
Jonathan Huberdeau\huberjo01,FLA,3,0,3,0.0
Victor Hedman\hedmavi01,TBL,3,0,3,0.0
Jake Debrusk\debruja01,BOS,3,0,3,0.0
Alex DeBrincat\debrial01,CHI,3,0,3,0.0
Ryan Nugent-Hopkins\nugenry01,EDM,3,0,3,0.0
Logan Couture\coutulo01,SJS,3,0,3,0.0
Tyler Bozak\bozakty01,STL,3,0,3,0.0
Nathan Gerbe\gerbena01,CBJ,3,0,3,0.0
Kevin Hayes\hayeske01,PHI,3,0,3,0.0
Nathan MacKinnon\mackina01,COL,2,0,2,0.0
Tyler Bertuzzi\bertuty01,DET,2,0,2,0.0
Anthony DeAngelo\deangan01,NYR,2,0,2,0.0
Vladimir Tarasenko\tarasvl01,STL,2,0,2,0.0
Kris Letang\letankr01,PIT,2,0,2,0.0
Reilly Smith\smithre01,VEG,2,0,2,0.0
Drake Batherson\bathedr01,OTT,2,0,2,0.0
Oliver Bjorkstrand\bjorkol01,CBJ,2,0,2,0.0
Nino Niederreiter\niedeni01,CAR,2,0,2,0.0
Evgeni Malkin\malkiev01,PIT,2,0,2,0.0
Tyler Toffoli\toffoty01,LAK,2,0,2,0.0
John Tavares\tavarjo01,TOR,2,0,2,0.0
Joel Armia\armiajo01,MTL,2,0,2,0.0
Kevin Stenlund\stenlke01,CBJ,2,0,2,0.0
Phil Kessel\kesseph01,ARI,2,0,2,0.0
Erik Karlsson\karlser01,SJS,2,0,2,0.0
Bobby Ryan\ryanbo01,OTT,2,0,2,0.0
Vinnie Hinostroza\hinosvi01,ARI,2,0,2,0.0
Brayden Schenn\schenbr01,STL,2,0,2,0.0
Michael Amadio\amadimi01,LAK,2,0,2,0.0
Frans Nielsen\nielsfr01,DET,2,0,2,0.0
David Krejci\krejcda01,BOS,2,0,2,0.0
Sam Steel\steelsa01,ANA,2,0,2,0.0
Nick Cousins\cousini01,MTL,2,0,2,0.0
Dmytro Timashov\timasdm01,TOR,1,0,1,0.0
Jamie Benn\bennja01,DAL,1,0,1,0.0
Charlie McAvoy\mcavoch01,BOS,1,0,1,0.0
Ryan Dzingel\dzingry01,CAR,1,0,1,0.0
Dmitry Orlov\orlovdm01,WSH,1,0,1,0.0
Gabriel Vilardi\vilarga01,LAK,1,0,1,0.0
Corey Perry\perryco01,DAL,1,0,1,0.0
Marcus Johansson\johanma03,BUF,1,0,1,0.0
Kasperi Kapanen\kapanka01,TOR,1,0,1,0.0
Elias Lindholm\lindhel01,CGY,1,0,1,0.0
Sebastian Aho\ahose01,CAR,1,0,1,0.0
Lars Eller\ellerla01,WSH,1,0,1,0.0
Sonny Milano\milanso01,CBJ,1,0,1,0.0
Brady Tkachuk\tkachbr01,OTT,1,0,1,0.0
Victor Olofsson\olofsvi01,BUF,1,0,1,0.0
Jordan Weal\wealjo01,MTL,1,0,1,0.0
Ivan Provorov\provoiv01,PHI,1,0,1,0.0
Andreas Athanasiou\athanan01,DET,1,0,1,0.0
Nico Hischier\hischni01,NJD,1,0,1,0.0
Alexander Kerfoot\kerfoal01,TOR,1,0,1,0.0
Craig Smith\smithcr01,NSH,1,0,1,0.0
Nick Bonino\boninni01,NSH,1,0,1,0.0
Carl Soderberg\soderca01,ARI,1,0,1,0.0
Riley Nash\nashri02,CBJ,1,0,1,0.0
Wayne Simmonds\simmowa01,NJD,1,0,1,0.0
Tomas Hertl\hertlto01,SJS,1,0,1,0.0
Casey Cizikas\cizikca01,NYI,1,0,1,0.0
Roman Josi\josiro01,NSH,1,0,1,0.0
Ilya Mikheyev\mikheil01,TOR,1,0,1,0.0
Mikko Rantanen\rantami01,COL,1,0,1,0.0
Cam Atkinson\atkinca01,CBJ,1,0,1,0.0
Derick Brassard\brassde01,NYI,1,0,1,0.0
Richard Panik\panikri01,WSH,1,0,1,0.0
Luke Kunin\kuninlu01,MIN,1,0,1,0.0
Adam Gaudette\gaudead01,VAN,1,0,1,0.0
Martin Frk\frkma01,LAK,1,0,1,0.0
Andrew Mangiapane\mangian01,CGY,1,0,1,0.0
Zach Werenski\werenza01,CBJ,1,0,1,0.0
James van Riemsdyk\vanrija01,PHI,1,0,1,0.0
Mikael Granlund\granlmi01,NSH,1,0,1,0.0
Brent Burns\burnsbr01,SJS,1,0,1,0.0
Mark Stone\stonema01,VEG,1,0,1,0.0
Nikolaj Ehlers\ehlerni01,WPG,1,0,1,0.0
Dominik Simon\simondo01,PIT,1,0,1,0.0
Troy Terry\terrytr01,ANA,1,0,1,0.0
Boone Jenner\jennebo01,CBJ,1,0,1,0.0
Andrew Ladd\laddan01,NYI,1,0,1,0.0
Shayne Gostisbehere\gostish01,PHI,1,0,1,0.0
Clayton Keller\kellecl01,ARI,1,0,1,0.0
Jaccob Slavin\slavija01,CAR,1,0,1,0.0
Alexander Edler\edleral01,VAN,1,0,1,0.0
Stefan Matteau\mattest02,CBJ,1,0,1,0.0
Nick Suzuki\suzukni01,MTL,1,0,1,0.0
Morgan Frost\frostmo01,PHI,1,0,1,0.0
Martin Necas\necasma01,CAR,1,0,1,0.0
John Carlson\carlsjo01,WSH,1,0,1,0.0
Gabriel Landeskog\landega01,COL,1,0,1,0.0
Jimmy Vesey\veseyji02,BUF,1,0,1,0.0
Erik Haula\haulaer01,CAR,1,0,1,0.0
Oskar Lindblom\lindbos01,PHI,1,0,1,0.0
Ryan Hartman\hartmry01,MIN,1,0,1,0.0
Sam Gagner\gagnesa01,DET,1,0,1,0.0
Morgan Rielly\riellmo01,TOR,1,0,1,0.0
Dustin Brown\browndu01,LAK,1,0,1,0.0
Pavel Zacha\zachapa01,NJD,1,0,1,0.0
Mike Reilly\reillmi01,OTT,1,0,1,0.0
Michael Raffl\rafflmi01,PHI,1,0,1,0.0
Patrice Bergeron\bergepa01,BOS,1,0,1,0.0
Evander Kane\kaneev01,SJS,1,0,1,0.0
Anders Lee\leean01,NYI,1,0,1,0.0
Calle Jarnkrok\jarnkca01,NSH,1,0,1,0.0
Tyson Barrie\barrity01,TOR,1,0,1,0.0
Devon Toews\toewsde01,NYI,1,0,1,0.0
Alex Steen\steenal01,STL,1,0,1,0.0
Robert Thomas\thomaro01,STL,1,0,1,0.0
Emil Bemstrom\bemstem01,CBJ,1,0,1,0.0
Dylan Strome\stromdy01,CHI,1,0,1,0.0
J.T. Miller\millejt01,TBL,2,2,0,100.0
Dougie Hamilton\hamildo01,CAR,2,2,0,100.0
Mikko Rantanen\rantami01,COL,2,2,0,100.0
Andreas Athanasiou\athanan01,DET,2,2,0,100.0
Sammy Blais\blaissa01,STL,1,1,0,100.0
Daniel Sprong\spronda01,ANA,1,1,0,100.0
Charlie Coyle\coylech01,BOS,1,1,0,100.0
Jakub Vrana\vranaja01,WSH,1,1,0,100.0
Carl Soderberg\soderca01,COL,1,1,0,100.0
Ryan Poehling\poehlry01,MTL,1,1,0,100.0
Paul Byron\byronpa01,MTL,1,1,0,100.0
Joel Armia\armiajo01,MTL,1,1,0,100.0
Pierre-Luc Dubois\duboipi01,CBJ,1,1,0,100.0
Conor Garland\garlaco01,ARI,1,1,0,100.0
Pavel Zacha\zachapa01,NJD,1,1,0,100.0
Tyler Toffoli\toffoty01,LAK,1,1,0,100.0
Ilya Kovalchuk\kovalil01,LAK,5,4,1,80.0
Victor Hedman\hedmavi01,TBL,5,4,1,80.0
Ryan Johansen\johanry01,NSH,4,3,1,75.0
Sean Monahan\monahse01,CGY,4,3,1,75.0
Jonathan Toews\toewsjo01,CHI,4,3,1,75.0
Jonathan Drouin\drouijo01,MTL,3,2,1,66.7
Artemi Panarin\panarar01,CBJ,3,2,1,66.7
Nolan Patrick\patrino01,PHI,3,2,1,66.7
Patrik Laine\lainepa01,WPG,3,2,1,66.7
Kyle Connor\connoky01,WPG,3,2,1,66.7
Cam Atkinson\atkinca01,CBJ,3,2,1,66.7
Steven Stamkos\stamkst01,TBL,3,2,1,66.7
Kevin Shattenkirk\shattke01,NYR,8,5,3,62.5
Nicklas Backstrom\backsni02,WSH,5,3,2,60.0
Evgeny Kuznetsov\kuzneev01,WSH,5,3,2,60.0
Tyler Bozak\bozakty01,STL,5,3,2,60.0
Nikita Kucherov\kucheni01,TBL,7,4,3,57.1
Jonathan Huberdeau\huberjo01,FLA,8,4,4,50.0
Jack Eichel\eicheja01,BUF,8,4,4,50.0
Ryan Nugent-Hopkins\nugenry01,EDM,6,3,3,50.0
Alex Galchenyuk\galchal01,ARI,6,3,3,50.0
Sam Reinhart\reinhsa01,BUF,6,3,3,50.0
Anthony DeAngelo\deangan01,NYR,4,2,2,50.0
Connor McDavid\mcdavco01,EDM,4,2,2,50.0
Patrick Kane\kanepa01,CHI,4,2,2,50.0
Alex Ovechkin\ovechal01,WSH,4,2,2,50.0
Vinnie Hinostroza\hinosvi01,ARI,4,2,2,50.0
David Perron\perroda01,STL,2,1,1,50.0
David Backes\backeda01,BOS,2,1,1,50.0
