Player,Attempts,Saves,Actual_Save_Rate,Estimated_Save_Rate,SO_Rating
Mikko Koskinen\koskimi01,28,22,0.7857142857142857,0.6951141552511415,87.61427046660353
Jordan Binnington\binnijo01,21,17,0.8095238095238095,0.6939269406392694,87.25825729440612
Anders Lindback\lindban01,27,21,0.7777777777777778,0.6935159817351598,87.13502196556854
Jonathan Quick\quickjo01,293,203,0.6928327645051194,0.6928327645051194,86.9301438155405
Carter Hart\hartca01,23,18,0.782608695652174,0.6921232876712329,86.71739112895234
James Reimer\reimeja01,145,101,0.696551724137931,0.6921004566210045,86.71054472179468
Mackenzie Blackwood\blackma01,48,35,0.7291666666666666,0.6920776255707763,86.70369831463708
Reto Berra\berrare01,34,25,0.7352941176470589,0.6897031963470319,85.9916719702422
Connor Hellebuyck\helleco01,59,42,0.711864406779661,0.6896575342465753,85.9779791559269
Dan Ellis\ellisda01,59,42,0.711864406779661,0.6896575342465753,85.9779791559269
Tristan Jarry\jarrytr01,15,12,0.8,0.689337899543379,85.88212945571993
Jeff Deslauriers\drouije01,40,29,0.725,0.6892922374429225,85.86843664140466
Thatcher Demko\demkoth01,18,14,0.7777777777777778,0.6891324200913241,85.82051179130113
John Gibson\gibsojo02,74,52,0.7027027027027027,0.6886301369863014,85.66989083383301
Jonas Gustavsson\gustajo01,58,41,0.7068965517241379,0.6880593607305936,85.49873065489194
Garret Sparks\sparkga01,11,9,0.8181818181818182,0.687945205479452,85.46449861910372
Sam Montembeault\montesa01,17,13,0.7647058823529411,0.6875342465753425,85.34126329026616
Jaroslav Halak\halakja01,224,154,0.6875,0.6875,85.33099367952968
Jonas Hiller\hillejo01,189,130,0.6878306878306878,0.6874200913242008,85.3070312544779
Manny Legace\legacma01,29,21,0.7241379310344828,0.6867123287671233,85.09479263259102
Viktor Fasth\fasthvi01,54,38,0.7037037037037037,0.6866666666666666,85.08109981827573
Joonas Korpisalo\korpijo01,32,23,0.71875,0.6865068493150684,85.03317496817222
Ben Bishop\bishobe01,160,110,0.6875,0.6860730593607307,84.90309323217707
Dany Sabourin\sabouda01,19,14,0.7368421052631579,0.6857305936073059,84.80039712481238
Matt Murray\murrama02,34,24,0.7058823529411765,0.6847031963470319,84.49230880271844
Steve Valiquette\valiqst01,12,9,0.75,0.6845433789954338,84.44438395261497
Chad Johnson\johnsch02,43,30,0.6976744186046512,0.6840867579908676,84.30745580946211
Calvin Pickard\pickaca01,21,15,0.7142857142857143,0.6839269406392694,84.25953095935861
Chris Mason\masonch02,71,49,0.6901408450704225,0.6838356164383561,84.23214533072803
Dwayne Roloson\rolosdw01,105,72,0.6857142857142857,0.6831735159817351,84.0335995231564
Evgeni Nabokov\nabokev01,155,106,0.6838709677419355,0.683082191780822,84.00621389452584
Aaron Dell\dellaa01,11,8,0.7272727272727273,0.682945205479452,83.96513545157997
